Lsr: Wavelength (nm),PL,DataSIF,Lsr: Energy (eV),Matisse Power (uW),Corrected PL
738.7501,6023.999999999999,<functions26.DataXXX.DataSIF object at 0x7f0aa35eba00>,3.3556105563670595,7.874766013313338,5616.272962049491
738.73,5367.35,<functions26.DataXXX.DataSIF object at 0x7f0aa369d7f0>,3.355701858699688,6.755084002570812,5833.5115809806075
738.7101,7206.9,<functions26.DataXXX.DataSIF object at 0x7f0aa3601a00>,3.355792257446081,7.8780402147310475,6716.317292031663
738.6901,7814.400000000001,<functions26.DataXXX.DataSIF object at 0x7f0aa35f92b0>,3.355883115364915,6.761294407250849,8485.29007142063
738.68,10584.65,<functions26.DataXXX.DataSIF object at 0x7f0aa3644a00>,3.3559290004835933,7.454828073481459,10424.128878843982
738.665,14392.85,<functions26.DataXXX.DataSIF object at 0x7f0aa382da60>,3.3559971490150757,7.611170188512558,13883.413811445262
738.662,14423.8,<functions26.DataXXX.DataSIF object at 0x7f0aa365c2b0>,3.3560107790535056,7.357607677002651,14392.75615300231
738.661,14078.7,<functions26.DataXXX.DataSIF object at 0x7f0aa36aa250>,3.3560153224242524,7.266790605560994,14223.96945301235
738.66,14171.6,<functions26.DataXXX.DataSIF object at 0x7f0aa3680a90>,3.356019865807301,7.176652396515749,14497.658863673207
738.659,13951.45,<functions26.DataXXX.DataSIF object at 0x7f0aa3703eb0>,3.3560244092026505,7.089647592299106,14447.596408017092
738.6585,13961.75,<functions26.DataXXX.DataSIF object at 0x7f0aa37fdc10>,3.3560266809049386,7.048092481892595,14543.507708662639
738.658,13886.1,<functions26.DataXXX.DataSIF object at 0x7f0aa3688fd0>,3.356028952610302,7.008241764149486,14546.95567153474
738.6576,13814.65,<functions26.DataXXX.DataSIF object at 0x7f0aa36152b0>,3.3560307699768077,6.977787787843448,14535.267586515967
738.657,13740.15,<functions26.DataXXX.DataSIF object at 0x7f0aa36442b0>,3.356033496030256,6.934828618862999,14546.437435890188
738.6566,13253.6,<functions26.DataXXX.DataSIF object at 0x7f0aa37130a0>,3.3560353134016814,6.908208743660008,14085.40404655641
738.656,12779.95,<functions26.DataXXX.DataSIF object at 0x7f0aa35f9a00>,3.356038039462512,6.871639651442232,13654.307526583638
738.655,12068.65,<functions26.DataXXX.DataSIF object at 0x7f0aa36fc730>,3.356042582907069,6.820651459976057,12990.73541595742
738.6545,11601.35,<functions26.DataXXX.DataSIF object at 0x7f0aa35eb2b0>,3.3560448546339607,6.800258619361633,12525.180750026539
738.654,10629.0,<functions26.DataXXX.DataSIF object at 0x7f0aa3626a00>,3.3560471263639275,6.783497030913263,11503.756225868898
738.6536,9977.65,<functions26.DataXXX.DataSIF object at 0x7f0aa36c1310>,3.356048943750116,6.772795761616743,10815.86326972097
738.653,10393.4,<functions26.DataXXX.DataSIF object at 0x7f0aa3688280>,3.356051669833089,6.761387872268391,11285.549080316887
738.6525,10673.75,<functions26.DataXXX.DataSIF object at 0x7f0aa3798190>,3.3560539415722825,6.756223303294783,11598.823334941208
738.6521,10959.05,<functions26.DataXXX.DataSIF object at 0x7f0aa3735f70>,3.3560557589658524,6.754967016893417,11911.064539626504
738.6516,11260.7,<functions26.DataXXX.DataSIF object at 0x7f0aa36f26d0>,3.356058030710582,6.757001875160298,12235.233199328479
